,objid,u,g,r,i,z
7440,1237653613185204349,19.84767,18.1221,17.266270000000002,16.92608,16.62911
13259,1237659146168959083,19.17719,17.68101,16.8903,16.42526,16.10171
39225,1237667448885674260,18.45405,16.59013,15.50651,15.04447,14.663529999999998
17078,1237660635992096927,18.6352,17.11368,16.325879999999998,15.889170000000002,15.56189
45279,1237667783344063153,19.52759,18.33455,17.73191,17.37611,17.198439999999998
21362,1237661150846910665,18.72242,17.276239999999998,16.48421,16.09039,15.81414
39312,1237664338243420255,18.34655,17.27439,16.68831,16.33455,16.14025
26147,1237661382771998891,19.33108,18.25848,17.51875,17.130489999999998,16.872629999999997
44844,1237668288549617805,18.45209,17.28976,16.637970000000003,16.28762,16.011670000000002
22486,1237659163354858186,19.185579999999998,18.2041,17.64432,17.31015,17.17861
42259,1237668271373287609,19.5048,18.04467,17.257620000000003,16.800929999999997,16.49227
41486,1237668299291033676,19.52776,17.88958,17.0561,16.69051,16.395979999999998
36572,1237665428105527487,19.51024,18.4147,17.8476,17.47087,17.32382
9698,1237656241163993494,19.46846,17.895570000000003,17.05264,16.6311,16.31889
41811,1237667550881185892,19.09866,17.95175,17.37892,17.02703,16.79564
3261,1237650371017834723,19.0511,17.72092,16.87432,16.44105,16.12228
15724,1237660634385350716,19.22855,18.11039,17.60345,17.273120000000002,17.06917
6736,1237655374647197888,18.95264,17.85679,17.28435,16.87386,16.64775
14106,1237658609833410759,18.43338,17.172539999999998,16.546110000000002,16.2208,15.98604
24884,1237662301900832916,19.28925,17.9874,17.32118,16.88551,16.665570000000002
25156,1237661417138028573,18.605610000000002,17.40178,16.79907,16.460279999999997,16.203310000000002
41558,1237667781778735340,19.47103,18.32305,17.84809,17.57019,17.37292
32154,1237664672716095697,19.4927,18.31385,17.64271,17.26355,17.01653
11749,1237658203432091761,19.420270000000002,18.35146,17.854689999999998,17.53265,17.37643
4528,1237651067348058222,17.63394,16.94615,16.59242,16.16335,16.12173
38090,1237667255626432633,18.38232,16.46065,15.59171,15.18235,14.855870000000001
11663,1237658203417542830,18.51377,17.82062,17.38091,16.95114,16.88349
13161,1237656241708073187,19.16093,18.0375,17.37673,17.02511,16.770789999999998
45085,1237668590800797852,18.861320000000003,16.75488,15.715629999999999,15.22344,14.90042
34201,1237665180056158433,18.828310000000002,17.44887,16.73987,16.34675,16.042360000000002
42307,1237667111189414044,19.24297,18.08729,17.63861,17.29784,17.19612
39866,1237667783370408031,19.34486,18.34354,17.72077,17.37796,17.14286
12980,1237658206125031562,19.00153,17.509420000000002,16.630779999999998,16.16613,15.85095
1000,1237651250955419812,19.11805,17.92451,17.13901,16.72015,16.48834
30525,1237661463309910404,19.25667,18.20036,17.713060000000002,17.38885,17.18086
29959,1237663530798416048,19.2513,17.44452,16.58413,16.22343,15.915329999999999
29423,1237662337870397804,19.81564,18.47458,17.64208,17.194860000000002,16.93056
17145,1237655465396207861,18.8851,17.504,16.66437,16.253220000000002,15.97695
15218,1237657776619520221,19.37552,18.204620000000002,17.60514,17.186,16.94887
14999,1237658203984167035,19.38791,18.16535,17.388460000000002,16.95383,16.64685
11708,1237658203424096369,19.18581,18.49377,18.16874,17.907339999999998,17.855999999999998
5494,1237651539250839600,18.378829999999997,16.32108,15.30301,14.84614,14.496379999999998
43837,1237671128589729860,18.52216,17.1371,16.39601,16.00606,15.716479999999999
44055,1237667781741904258,19.59647,18.37741,17.71049,17.33555,17.0794
38356,1237665329311907885,19.26448,18.02061,17.28389,16.82441,16.55048
29659,1237662524697804964,19.561329999999998,18.41815,17.78718,17.41075,17.23976
23426,1237662339472490760,19.5322,17.663,16.71161,16.30134,15.986189999999999
19974,1237661070334034184,19.50765,18.02954,17.143539999999998,16.67517,16.31481
12702,1237657595151384831,19.03122,17.10499,16.12197,15.68072,15.31059
38654,1237667211061493820,18.971420000000002,17.779510000000002,17.01793,16.60691,16.32356
42175,1237668270833205457,18.83501,17.23405,16.34279,15.9065,15.570570000000002
29172,1237662263777558633,18.72315,17.70342,17.3396,17.03432,16.98382
11959,1237657776079438112,19.700789999999998,17.97784,17.012539999999998,16.5098,16.15331
3094,1237650369414627448,19.515829999999998,18.307129999999997,17.69652,17.342589999999998,17.09765
38549,1237667252937490486,19.21271,17.29335,16.29445,15.84772,15.51534
49693,1237667782807388805,19.4399,17.45056,16.46051,16.022170000000003,15.66136
29800,1237662302972936336,18.90974,16.91711,15.829320000000001,15.33115,14.95951
47562,1237671127513891005,18.56104,16.76904,15.82036,15.34035,14.968129999999999
45958,1237668315383660753,19.22944,18.190089999999998,17.59123,17.19615,17.00091
17982,1237660343390175467,19.62619,18.63178,18.22926,17.930229999999998,17.7976
16444,1237658299535917220,18.581789999999998,17.40119,16.76884,16.367820000000002,16.12068
5691,1237655106766504025,19.384870000000003,18.53792,18.12215,17.79364,17.6794
48212,1237671264961298663,19.69725,18.5188,17.8103,17.401889999999998,17.19446
27599,1237662266464010503,19.469839999999998,18.49513,17.84371,17.50965,17.29111
19494,1237661086958747843,18.83706,17.296039999999998,16.46425,16.02645,15.67659
44574,1237668296595603619,19.22286,17.94989,17.191760000000002,16.81401,16.582620000000002
25153,1237661417137176665,18.583660000000002,17.53942,17.05174,16.70295,16.51643
34660,1237665099002216568,18.774060000000002,17.59852,17.100089999999998,16.7326,16.599439999999998
25018,1237662262699557080,18.57739,17.11451,16.382279999999998,15.98121,15.728729999999999
34329,1237665441533985019,19.59085,18.456020000000002,17.847189999999998,17.4934,17.2356
3192,1237654390568911070,19.03124,17.717670000000002,16.98069,16.57089,16.33224
7550,1237655348893712475,18.68966,17.703770000000002,17.26623,16.95515,16.76591
85,1237648721231413438,18.92145,17.662879999999998,16.95821,16.55782,16.31484
48066,1237667537476255892,18.851760000000002,17.760579999999997,17.23771,16.93775,16.7824
21542,1237661433777291286,18.860310000000002,17.23433,16.49086,16.17299,15.937510000000001
50046,1237668272431956109,19.21078,18.06495,17.50981,17.15253,16.95703
34303,1237665441525203062,19.12027,17.77252,17.03934,16.66919,16.34344
42327,1237667111724253444,19.07694,17.755110000000002,16.95809,16.54614,16.2721
33685,1237664669516497036,19.120620000000002,17.89791,17.11666,16.69599,16.40304
872,1237651537649139901,19.81409,18.21079,17.34938,16.90234,16.57875
13135,1237657775003402589,19.93061,17.94003,16.9766,16.55135,16.2383
1926,1237651252560199838,19.090329999999998,17.2804,16.360889999999998,15.94685,15.61164
25493,1237661871874244717,18.99922,17.98111,17.48956,17.16571,16.99873
1537,1237648720153673964,19.4887,17.87601,16.972170000000002,16.52478,16.14656
15071,1237658204507013152,19.31622,18.1955,17.64501,17.283920000000002,17.139979999999998
45444,1237671139873194086,19.26435,18.11318,17.392970000000002,17.01584,16.77928
15172,1237658613594652742,19.1538,18.0028,17.52674,17.17064,16.98903
10064,1237654879126421581,19.07231,17.7161,17.00008,16.60751,16.391
15329,1237658916920492231,18.9095,17.735670000000002,17.06063,16.65916,16.45729
43168,1237668332038848723,18.74471,16.66364,15.59631,15.1408,14.75724
49833,1237680331631558985,19.288320000000002,17.26724,16.20802,15.74405,15.36609
2953,1237654399160352845,18.709979999999998,17.71995,17.14704,16.7725,16.5485
20397,1237661418207117447,18.92899,17.772129999999997,17.1505,16.7764,16.55538
5861,1237655502964851253,19.55875,17.59525,16.55399,16.07829,15.717089999999999
13861,1237659161207308747,19.216279999999998,17.233179999999997,16.14845,15.64255,15.253739999999999
20170,1237658423550542000,19.13365,17.25536,16.28267,15.84625,15.502379999999999
1218,1237651539781746821,19.2244,17.427039999999998,16.4725,16.074170000000002,15.735829999999998
19544,1237661087497847036,18.697010000000002,16.98678,16.08074,15.63381,15.27878
37965,1237667781760516257,19.4323,18.37538,17.97038,17.6631,17.515420000000002
7157,1237654398618763375,18.58085,17.40541,16.78405,16.426479999999998,16.226029999999998
25837,1237662637980254474,19.52683,18.34536,17.508860000000002,17.05745,16.733079999999998
24788,1237662300825583755,19.28329,17.7713,16.861929999999997,16.419710000000002,16.13954
8190,1237655130374340864,19.21594,17.61619,16.80402,16.37313,16.0224
16025,1237658493350969573,18.93688,17.41469,16.55194,16.134179999999997,15.81475
43782,1237667551420285052,18.69182,17.82031,17.44378,17.13704,17.04532
30056,1237662341618467027,19.645039999999998,17.61358,16.57501,16.13474,15.80461
8764,1237656567574496064,19.69335,18.89565,18.48464,18.21719,18.20671
21541,1237661433776767158,18.532770000000003,17.51582,17.02223,16.71659,16.60076
3693,1237654640211722322,19.165760000000002,17.49939,16.69023,16.28816,15.99165
37643,1237664852040810644,18.77401,16.72145,15.654860000000001,15.21006,14.8333
20881,1237660584983134352,19.36885,17.96402,17.136020000000002,16.66775,16.36233
46035,1237667448873287777,19.48084,18.4118,17.72222,17.31235,17.10797
11184,1237655370905550975,19.17398,18.12787,17.623,17.36733,17.27274
39636,1237667912197341385,18.30227,16.5662,15.629620000000001,15.21827,14.860289999999999
12665,1237657593540182279,19.39382,18.27967,17.81934,17.47916,17.303279999999997
42193,1237668270839234713,19.07998,17.06256,16.05069,15.5874,15.24484
22942,1237662195612385489,19.252879999999998,18.52981,17.79372,17.44166,17.09335
22489,1237659163881570424,19.59274,18.219260000000002,17.46719,17.09244,16.78971
30166,1237663783135871087,19.52187,18.1069,17.26993,16.86399,16.58742
6317,1237655108912677074,19.14509,17.14819,16.12346,15.658389999999999,15.325999999999999
10714,1237654398623613047,20.03975,18.19805,17.312279999999998,16.99786,16.802329999999998
33319,1237665530633126203,18.07739,16.8577,16.0683,15.60203,15.305639999999999
20692,1237661211509522629,19.572210000000002,18.40679,17.53859,17.14723,16.83289
44564,1237668296592982194,19.261120000000002,18.11499,17.38973,16.940160000000002,16.6793
44051,1237667781741052137,19.64744,18.47639,17.91825,17.54949,17.38372
5799,1237654652568404128,19.3212,17.57979,16.62828,16.213639999999998,15.84635
121,1237648720174252193,19.35432,17.60771,16.59177,16.11218,15.78767
11977,1237657776609493269,19.180770000000003,17.419079999999997,16.42075,15.96734,15.60358
16308,1237659131676786848,18.79845,17.56281,16.91545,16.52145,16.2456
14498,1237658800426451081,18.98546,18.00529,17.64143,17.30774,17.29534
25399,1237661416058716233,19.525779999999997,18.43287,17.755979999999997,17.37173,17.14627
14891,1237657628984279116,17.82754,16.6475,16.070510000000002,15.682970000000001,15.497589999999999
34804,1237665367963402380,19.36903,18.27506,17.45784,17.03913,16.812929999999998
29608,1237664671639142618,19.397270000000002,18.072470000000003,17.20756,16.786170000000002,16.53086
17007,1237658298999111905,18.9402,17.95555,17.35705,16.97585,16.7663
29113,1237662263239114987,19.349729999999997,18.349870000000003,17.76567,17.471510000000002,17.22833
21015,1237661850919698499,19.63466,18.51622,17.68478,17.25261,16.98161
35955,1237664131555852500,18.48305,17.41301,16.89861,16.57529,16.49215
11838,1237658491213316386,19.23627,18.0346,17.40294,17.05668,16.84366
9995,1237657629513613489,19.20895,18.54629,18.29102,18.0264,17.980629999999998
30180,1237661959367753913,19.15771,18.05013,17.30309,16.8814,16.65203
38625,1237667253463941214,19.59842,18.39161,17.76303,17.38666,17.20054
46917,1237667781759860856,19.61901,18.35144,17.7314,17.33483,17.124979999999997
16896,1237661069796180015,18.523870000000002,17.008110000000002,16.19555,15.775310000000001,15.40899
32572,1237665126927564859,19.72392,19.17085,18.8114,18.55796,18.77686
8940,1237654029252559011,18.57466,17.31185,16.60345,16.18338,15.87261
36399,1237665180600172709,19.40461,18.13167,17.4876,17.11497,16.87878
21895,1237661381702582513,19.588639999999998,17.687170000000002,16.75386,16.36351,16.01763
30510,1237661463304143053,19.36498,18.302429999999998,17.73405,17.39217,17.19296
47066,1237671142021071086,19.62807,17.80582,16.84883,16.42286,16.13036
34846,1237665368506630248,19.07101,17.1358,16.17901,15.775279999999999,15.449779999999999
33507,1237664130479751277,19.56278,18.15895,17.38289,16.95707,16.64941
2450,1237650797288096106,18.902639999999998,17.31005,16.457420000000003,15.99513,15.66823
48572,1237671936580059525,18.8584,16.956970000000002,15.92878,15.482470000000001,15.115279999999998
39021,1237667781196776030,19.24237,17.96629,17.28745,16.88964,16.65814
32030,1237664093440114879,19.28668,18.79337,18.51303,18.23611,18.42694
47135,1237667734494838929,19.096220000000002,18.151329999999998,17.74202,17.42674,17.34543
10056,1237657630047076612,18.61792,17.38887,16.69781,16.31943,16.0341
10410,1237657191445692569,19.099970000000003,18.11882,17.657629999999997,17.34712,17.21997
19555,1237661088030720312,18.81419,17.839270000000003,17.37995,17.04489,16.890729999999998
6218,1237653652917321906,19.01715,17.363970000000002,16.40059,15.93975,15.57722
45482,1237667736124653670,19.59871,18.55197,17.79131,17.35633,17.18481
48610,1237673308822110493,18.94415,18.08846,17.5713,17.1659,16.996029999999998
2866,1237651273513762892,19.18509,18.20358,17.733,17.44574,17.2281
28432,1237662662679265410,18.559839999999998,16.99279,16.17509,15.73259,15.40303
39986,1237667731267126014,19.194689999999998,17.992729999999998,17.33085,16.93753,16.658479999999997
22974,1237662196137918573,18.57248,17.33352,16.668020000000002,16.27831,16.06581
25705,1237661464382210566,18.999489999999998,17.652179999999998,16.73528,16.26054,15.934339999999999
9143,1237655463232209054,19.30134,17.879170000000002,17.123170000000002,16.72754,16.37098
45005,1237667782303481969,19.12997,18.41249,18.06325,17.86289,17.88961
37252,1237665533319708893,18.5174,17.1738,16.37661,15.96965,15.65255
20504,1237661066017571151,19.20148,18.294929999999997,17.7808,17.366120000000002,17.20016
27770,1237661949720330347,19.296310000000002,17.98205,17.26352,16.82865,16.582720000000002
46383,1237667910053265522,19.78799,18.92163,18.57145,18.21605,18.15617
8808,1237655742409933072,19.68794,17.65819,16.66337,16.26287,15.909970000000001
18225,1237660765908369565,18.57726,16.67351,15.698839999999999,15.247779999999999,14.92506
33161,1237665128020377709,18.44452,16.93303,16.17735,15.862420000000002,15.616270000000002
39298,1237664337715658859,19.20722,17.91617,17.209529999999997,16.8163,16.56488
34643,1237665098465345604,19.03107,17.847179999999998,17.11385,16.63935,16.39836
40367,1237665569290584368,19.81231,18.96569,18.666629999999998,18.38425,18.30761
13798,1237660670893359210,19.52088,17.85182,17.179029999999997,16.84609,16.62661
41090,1237667781205360909,18.90636,17.34655,16.43231,15.98195,15.6618
44703,1237670964313850011,18.49832,16.73754,15.935120000000001,15.614410000000001,15.35784
38884,1237665565544415614,18.778489999999998,17.777520000000003,17.32096,16.99894,16.83074
47285,1237671125378728134,19.5095,18.109479999999998,17.31839,16.89347,16.60855
26482,1237661972257570923,18.46708,17.3642,16.78102,16.41159,16.18064
42458,1237667736117051510,18.86329,17.74705,17.05871,16.65635,16.43035
16728,1237659149385990335,19.40964,17.963079999999998,17.229870000000002,16.936729999999997,16.692510000000002
19394,1237661358614446201,19.38728,18.24936,17.69655,17.33642,17.10695
41733,1237667549810000086,18.66941,17.225920000000002,16.51785,16.09975,15.772179999999999
12945,1237659119871066253,19.02725,17.28171,16.355520000000002,15.95161,15.660039999999999
31766,1237664339323977859,19.44027,18.34846,17.64405,17.239420000000003,16.98029
21265,1237658491207221324,18.575570000000003,17.43219,16.92748,16.581039999999998,16.3975
48691,1237674366455906773,19.197229999999998,18.14082,17.52083,17.08577,16.90486
92,1237648721231872163,19.09848,17.046039999999998,16.03856,15.615789999999999,15.28631
46775,1237667914877763756,18.70586,17.94189,17.57323,17.240389999999998,17.12568
47665,1237670965927608450,19.090239999999998,17.88297,17.31546,16.97576,16.81621
8532,1237654605867843809,19.90554,17.926920000000003,16.95376,16.53381,16.17644
49309,1237678617425215694,18.8667,17.76908,17.14285,16.70261,16.50936
25149,1237661417135145096,19.4735,18.37538,17.73051,17.37941,17.160079999999997
38833,1237667322179354661,19.4072,17.89917,17.06096,16.63421,16.3154
26130,1237661382241550386,19.06438,17.6408,16.79705,16.3657,16.16095
31962,1237665024904659018,18.89053,18.06523,17.728189999999998,17.36076,17.3374
722,1237648703509627152,19.250429999999998,18.77891,18.33204,18.1385,17.94618
33410,1237664337170792558,19.06962,17.556829999999998,17.03549,16.824679999999997,16.61758
10266,1237655501886849489,19.55419,18.32025,17.5445,17.11533,16.83478
12816,1237657856070254688,19.49512,18.369770000000003,17.78493,17.42758,17.23495
15712,1237660634384040189,18.84253,17.77279,17.33909,17.02414,16.854789999999998
48659,1237674290217746951,19.27552,18.17114,17.43018,17.01707,16.82508
5137,1237651753481666677,19.16667,18.01896,17.34776,16.9644,16.72416
5696,1237655106767028308,19.70871,17.84315,17.01114,16.65458,16.38983
24341,1237661433241600101,19.70025,17.87574,16.98549,16.59222,16.29609
21415,1237661387615436987,19.5264,17.66651,16.70299,16.28004,15.92097
12784,1237657856065732736,18.81697,17.4274,16.59086,16.16974,15.84954
48505,1237671128057184446,19.54853,17.86557,17.0697,16.6558,16.37142
1292,1237651191896539334,19.01219,17.75272,17.09052,16.64846,16.385920000000002
41146,1237667781217747052,19.151889999999998,17.21871,16.128420000000002,15.684679999999998,15.353279999999998
22512,1237659324406235376,18.32295,17.30099,16.84826,16.52658,16.40104
43994,1237667781232820365,18.90555,16.91025,15.922989999999999,15.51053,15.25544
12347,1237656494024229322,19.16339,17.9368,17.25089,16.85205,16.62207
18884,1237657857139802222,18.996,17.79385,17.08353,16.66695,16.39845
108,1237648720169664640,18.56377,17.20022,16.38449,15.944120000000002,15.618739999999999
37182,1237664294759891388,19.57176,17.96641,17.16668,16.7193,16.39861
21088,1237658312406073547,19.01614,17.909679999999998,17.31796,16.95725,16.75006
37432,1237667209990176928,19.164820000000002,17.99703,17.30892,16.95424,16.76726
17845,1237661149772578929,20.06803,19.42841,18.563010000000002,18.16943,17.91923
23403,1237662337873674617,19.39275,17.87012,16.93056,16.43575,16.07553
12866,1237657584950575245,19.21813,18.03651,17.44033,17.07548,16.87818
12426,1237657627897102621,19.73153,18.49847,17.75147,17.26295,17.02455
47309,1237671260135620796,19.90719,18.405,17.571720000000003,17.09627,16.60632
19918,1237661070320206037,19.56949,18.39663,17.70194,17.36451,17.12125
24036,1237662335182307572,19.60435,18.257089999999998,17.52541,17.12967,16.88475
17521,1237659325479387265,19.24747,18.09478,17.63423,17.27736,17.22392
16007,1237658493344743489,19.05726,17.24456,16.38586,16.01594,15.725029999999999
35350,1237664834860810474,18.529320000000002,17.17936,16.48816,16.06382,15.825
6649,1237655371436654762,19.29774,17.97938,17.10216,16.664179999999998,16.39678
11892,1237657775537455434,19.53064,17.498079999999998,16.46787,16.02205,15.643189999999999
22769,1237661966349893770,18.78934,17.80516,17.34467,16.95655,16.85437
17077,1237660635991965792,19.18925,18.00858,17.492620000000002,17.147389999999998,16.927410000000002
46439,1237668349749362955,18.76684,17.640079999999998,17.05973,16.69485,16.493560000000002
18938,1237661464373887299,18.87205,17.67064,17.133960000000002,16.78591,16.64825
5303,1237654400761266286,18.8163,17.72015,17.05643,16.622329999999998,16.38198
5285,1237654400235470937,19.2396,18.6368,18.42923,18.13146,18.10867
49894,1237664852580303057,19.307879999999997,18.12779,17.44647,17.10154,16.83766
29316,1237662619185905948,19.252489999999998,18.0737,17.434739999999998,17.07553,16.80392
49216,1237673808658301222,19.20549,18.03115,17.5587,17.24786,17.120929999999998
26889,1237662225693868402,18.92912,17.89099,17.24076,16.85149,16.67023
40849,1237667322714325117,19.2789,18.01932,17.34368,16.93405,16.64774
766,1237648721769267286,19.04861,16.99914,15.92885,15.47555,15.0897
9046,1237655464856453362,18.89048,17.192,16.47711,16.13835,15.89117
24175,1237662225685741743,19.18277,17.18412,16.20093,15.76266,15.41523
34647,1237665098467967083,19.14285,17.19549,16.18556,15.774679999999998,15.41469
25266,1237661872952115396,19.247970000000002,17.9223,17.156760000000002,16.76181,16.48357
24933,1237660670343971223,19.00388,17.0156,15.997860000000001,15.532429999999998,15.175720000000002
22148,1237661463301062837,18.78593,17.28245,16.440170000000002,16.01494,15.72204
25302,1237661873468604537,18.09215,16.78541,16.07118,15.690389999999999,15.42745
10158,1237657773929201902,19.45615,18.29666,17.464000000000002,17.04054,16.74407
41064,1237667292111110424,19.69881,18.57774,17.85916,17.42128,17.16545
45566,1237667736653856902,19.01822,17.64568,16.91393,16.45851,16.21773
33926,1237664292071800922,19.49113,18.891779999999997,18.55255,18.295820000000003,18.238570000000003
29575,1237662269149806923,18.92652,17.81992,17.19015,16.81587,16.59083
45303,1237667783350681909,18.87426,17.70176,16.96249,16.58309,16.3513
10818,1237654610681135251,19.41676,18.08314,17.35207,16.96455,16.71775
41207,1237667211598954616,19.193479999999997,18.181929999999998,17.682779999999998,17.31074,17.142220000000002
17904,1237659120404791502,19.30205,18.01168,17.41251,16.9705,16.760070000000002
4802,1237654344938029256,19.1191,17.93631,17.35014,16.976010000000002,16.77993
1974,1237651252588970158,19.15563,17.84415,17.11431,16.72166,16.4362
44533,1237668294980010113,19.71405,18.199720000000003,17.48733,17.26236,17.053279999999997
48993,1237671956443234396,18.55445,16.91469,15.93709,15.49533,15.143870000000001
