,objid,u,g,r,i,z,redshift
40662,1237665102756380949,18.87712,18.31103,18.154329999999998,17.89679,18.02001,0.1216472
32347,1237663785282764879,19.98488,19.2466,18.885289999999998,18.68648,18.674879999999998,0.1682764
14281,1237658492273426592,19.2068,18.00451,17.40873,17.05868,16.849339999999998,0.103683
46538,1237668350816682074,19.27507,17.80087,16.9778,16.50189,16.2308,0.11910989999999999
22972,1237662196136869914,19.034270000000003,17.17352,16.16805,15.747110000000001,15.408120000000002,0.1136693
5848,1237655502961640045,18.86355,17.12694,16.23923,15.80613,15.46765,0.109912
13636,1237658303812534530,18.357020000000002,17.55053,16.98818,16.62004,16.48862,0.21921439999999998
20787,1237658300069183578,19.83117,17.91359,16.93225,16.53893,16.19361,0.1158848
10730,1237654399150915737,19.90184,18.43486,17.48506,17.084870000000002,16.74363,0.1560039
29041,1237662499474571561,19.00481,17.72914,17.078960000000002,16.68236,16.42928,0.1023365
27521,1237662264847237231,19.3905,18.12645,17.428520000000002,17.039920000000002,16.75834,0.12599860000000002
29658,1237662524697804949,20.0122,19.206889999999998,18.86266,18.49955,18.48422,0.1461584
3160,1237648704042828025,19.63467,17.72912,16.70821,16.2658,15.882929999999998,0.10881880000000001
28491,1237661850384466115,19.00382,17.75477,17.06478,16.64954,16.41075,0.13778020000000002
9694,1237656241163206949,19.490070000000003,17.8842,16.9956,16.56021,16.2192,0.1284282
36233,1237665531713814764,19.04549,18.154529999999998,17.74186,17.43776,17.28225,0.100569
24057,1237662335715115173,19.36518,17.668,16.9068,16.49855,16.22599,0.12780550000000002
17635,1237659163344765223,19.85202,19.12619,18.0861,17.59905,17.28106,0.3160446
32661,1237662636910903733,19.63229,18.46878,17.76228,17.35047,17.1283,0.1568296
42090,1237667253475213377,19.37572,17.78244,16.92088,16.45277,16.096510000000002,0.1046441
44401,1237669516906135757,18.472,16.98904,16.15569,15.705039999999999,15.379420000000001,0.1084308
25464,1237662662140625061,18.77291,17.45338,16.72157,16.30546,16.00773,0.1162098
21615,1237660241387192479,19.86796,19.551820000000003,19.15953,19.087329999999998,18.68802,0.2979914
20042,1237661137959518392,19.30827,18.239420000000003,17.749979999999997,17.38521,17.28945,0.10777919999999999
16613,1237660582835912892,19.591089999999998,18.21786,17.54605,17.13371,16.87706,0.1053369
35771,1237665567143952415,18.88909,17.01375,15.99531,15.5453,15.186879999999999,0.11400419999999999
17409,1237661152451756184,19.16018,17.31672,16.37193,15.980889999999999,15.666970000000001,0.12269589999999998
38664,1237667211065032815,19.340529999999998,18.03254,17.32335,16.959870000000002,16.68457,0.119494
33502,1237664130479620182,18.832079999999998,17.65394,16.89945,16.460539999999998,16.19264,0.1426324
44312,1237667212669223028,19.26134,18.32089,17.78837,17.40902,17.17673,0.14150439999999997
11179,1237655370904109152,19.15498,17.5528,16.62129,16.18561,15.823770000000001,0.1212858
11025,1237655470207729931,19.3704,17.94732,17.1454,16.72396,16.42925,0.1644951
22165,1237661849846087928,19.295270000000002,18.13458,17.529339999999998,17.159470000000002,16.91181,0.10673219999999999
30158,1237663783133511779,18.960060000000002,17.794710000000002,17.20651,16.84145,16.6725,0.1175136
37737,1237667323263123676,19.32506,18.2996,17.61392,17.19014,16.929679999999998,0.1348618
21454,1237661388139135093,18.5584,17.16712,16.43414,16.03291,15.770570000000001,0.11688230000000001
10638,1237655494367838358,18.68845,17.19197,16.38576,15.99288,15.654539999999999,0.10724189999999999
7622,1237654880192954510,18.37629,17.33088,16.75505,16.42428,16.202920000000002,0.11363510000000002
5568,1237654604777980175,19.20976,17.80885,16.8725,16.43126,16.15224,0.1013841
10827,1237654611216498781,19.196579999999997,17.40023,16.472579999999997,16.05548,15.730429999999998,0.10307960000000001
19971,1237661070333706483,19.463820000000002,17.3448,16.302410000000002,15.8592,15.50428,0.11530180000000001
47523,1237671126977609863,19.07406,17.99246,17.50871,17.183139999999998,17.03379,0.12178610000000001
10444,1237657192516681951,19.030920000000002,18.08644,17.641370000000002,17.28456,17.19783,0.1281805
34031,1237663546365641033,19.4588,18.054470000000002,17.35687,16.86581,16.64094,0.119646
17060,1237660635988230274,18.97557,17.46451,16.73341,16.3331,16.02806,0.10771320000000001
39798,1237667441902551145,19.55396,18.40229,17.8141,17.45628,17.24479,0.1241653
1960,1237651252583137459,18.54995,17.13962,16.31415,15.88957,15.58717,0.1359338
17079,1237660635992096941,18.85314,16.78696,15.81639,15.387839999999999,15.037970000000001,0.10286880000000001
4505,1237651065736462463,19.10814,17.706139999999998,16.93871,16.52806,16.351210000000002,0.11370230000000002
21751,1237661069245808811,19.16125,17.99235,17.36055,16.97799,16.70492,0.11896040000000001
41000,1237667259358183512,18.72222,17.64416,16.9635,16.55653,16.32372,0.1254281
42111,1237667253479211138,19.64088,18.4321,17.821460000000002,17.416220000000003,17.20327,0.11844960000000002
8837,1237655742942150906,19.14348,17.73315,16.99087,16.57231,16.261229999999998,0.10841700000000001
6805,1237654875360198732,19.346629999999998,18.1715,17.51165,17.10529,16.85784,0.1447836
6941,1237654610141970584,18.98159,17.08713,16.12642,15.692,15.34888,0.1057222
8178,1237655130372047011,19.59463,18.35599,17.71146,17.30846,17.08223,0.1078213
27590,1237662266461126901,19.32139,18.29828,17.78581,17.40665,17.26387,0.1262402
48983,1237671955910033432,19.09636,17.66754,16.85091,16.41814,16.12486,0.12472539999999999
43241,1237664670049435821,19.210910000000002,17.33181,16.39569,15.98891,15.644620000000002,0.10168660000000002
22845,1237661950789943405,19.07408,18.09941,17.70185,17.39558,17.3009,0.12499489999999998
44135,1237667912745484416,19.28811,17.98997,17.2118,16.809,16.496,0.1392964
1856,1237648722300567777,19.08006,18.1045,17.69537,17.38346,17.25244,0.10008439999999999
22215,1237661849856114780,18.43553,17.305039999999998,16.60882,16.22614,15.98104,0.1362948
18364,1237661068717981761,19.43051,17.647679999999998,16.64961,16.27759,15.91066,0.11986079999999999
10003,1237657629517086885,18.50349,17.5495,16.94432,16.54883,16.34714,0.1418377
50021,1237668271911665744,19.49473,18.41424,17.89644,17.47445,17.28058,0.11869629999999999
39437,1237667915414503517,18.72905,17.82183,17.35944,17.042820000000003,16.91591,0.10428789999999999
38207,1237665442062663775,18.785829999999997,17.3434,16.610020000000002,16.18185,15.86309,0.1174241
47092,1237667733988835582,18.83643,17.782989999999998,17.271079999999998,16.90689,16.7574,0.1095047
24281,1237662193996398766,19.49384,18.683889999999998,18.126379999999997,17.806079999999998,17.68757,0.2105788
27836,1237662307808575767,19.12194,17.88325,17.223860000000002,16.80817,16.56095,0.1129623
17332,1237659327096422600,18.52874,17.745620000000002,17.27522,16.97404,16.82025,0.1418701
13588,1237658423011180665,18.947110000000002,17.81253,17.07689,16.69259,16.45091,0.16739489999999999
47544,1237671126981279909,19.76807,18.58223,17.83684,17.43245,17.1726,0.1610806
6144,1237655464304443522,19.27504,17.56519,16.624270000000003,16.16617,15.79615,0.10952910000000002
38395,1237667734503620693,18.77477,17.719260000000002,17.27047,16.956429999999997,16.77779,0.10811789999999999
14659,1237657857683751080,18.64623,17.13488,16.33644,15.93175,15.652679999999998,0.10927080000000002
21183,1237661387603771529,19.01376,17.93055,17.37514,17.07147,16.96617,0.1221569
12403,1237656495652995316,19.74895,18.51215,17.81361,17.41186,17.11303,0.1148576
19483,1237661086952129115,19.823420000000002,19.22481,18.82868,18.459229999999998,18.54472,0.2169527
21569,1237661434307281109,18.62039,17.621560000000002,16.9242,16.50835,16.29435,0.1846932
1146,1237651249896685684,18.12034,16.92213,16.23573,15.749629999999998,15.50138,0.1123694
8828,1237655742940971110,18.96229,17.82828,17.33491,17.004939999999998,16.83481,0.11076019999999999
49581,1237674603752390990,18.75061,18.2309,17.996579999999998,17.77311,17.78174,0.1768676
42310,1237667111190069445,19.120820000000002,17.94651,17.12546,16.729979999999998,16.46994,0.1691868
39258,1237667536385081774,19.065929999999998,17.27615,16.39808,15.988470000000001,15.69321,0.100405
10737,1237654399151702133,19.4699,18.29606,17.68786,17.34609,17.152810000000002,0.1378669
599,1237648722835210389,19.42312,18.19163,17.64337,17.30617,17.10674,0.1072973
49855,1237680479267979534,18.849220000000003,17.13628,16.19949,15.73259,15.38616,0.11058339999999998
31914,1237665024363790410,18.55839,17.5063,16.89226,16.53894,16.322779999999998,0.1311028
49299,1237678617419645036,18.46598,17.3088,16.83543,16.4899,16.34489,0.1050268
20796,1237658300070625368,19.206220000000002,18.83492,18.34206,18.12621,17.79811,0.25602559999999996
9348,1237652900233674857,18.73016,17.39886,16.56194,16.108829999999998,15.77723,0.1382962
43296,1237668584894628032,19.3248,18.54579,18.15468,17.95542,17.81213,0.1309988
47949,1237671123229606101,19.659570000000002,18.13514,17.20506,16.76774,16.399079999999998,0.15417879999999998
25152,1237661417135407271,18.6658,17.40942,16.6695,16.287679999999998,16.02085,0.14441479999999998
17016,1237660635460010109,18.92032,17.48325,16.7506,16.36414,16.05663,0.1043626
17939,1237661382773637398,18.40035,17.40602,16.908920000000002,16.592029999999998,16.417070000000002,0.135925
6533,1237654948371628162,19.00539,18.0245,17.56906,17.12803,17.037029999999998,0.1419182
42784,1237668496317743174,18.871579999999998,17.995160000000002,17.35848,16.99155,16.850479999999997,0.1951606
39072,1237667254012149902,19.694110000000002,18.37698,17.55828,17.08243,16.76851,0.1402495
29002,1237662498928722124,18.43439,16.97352,16.180320000000002,15.761389999999999,15.456579999999999,0.1344827
25653,1237662225151426689,19.398629999999997,18.22139,17.55884,17.2019,16.96246,0.1180049
47745,1237667735569105039,18.981679999999997,18.02149,17.4912,17.13724,17.00654,0.1379549
47428,1237668367460335952,19.25779,17.94802,17.173389999999998,16.76943,16.43829,0.1411906
20657,1237661210437550205,19.617620000000002,18.73731,18.38167,18.08002,17.96443,0.1509119
4296,1237648720706601294,19.17597,17.97458,17.21094,16.816029999999998,16.59371,0.1960019
35719,1237664815526117503,19.469839999999998,18.957629999999998,18.583479999999998,18.304779999999997,18.41453,0.2011204
42663,1237667783900266601,19.78517,19.10918,18.4148,18.00528,17.8513,0.1864816
39889,1237667783382270125,19.0834,17.238329999999998,16.26812,15.852120000000001,15.519639999999999,0.1105022
28782,1237663547982938262,19.74341,18.907120000000003,18.49502,18.141170000000002,18.019370000000002,0.1211902
46508,1237668350287806676,19.072039999999998,17.205,16.17199,15.73559,15.3838,0.1105998
28218,1237662305123958921,19.0936,17.42551,16.55433,16.151510000000002,15.82899,0.1136471
43265,1237666301630677123,19.99726,19.225479999999997,18.79191,18.36151,18.39724,0.1289065
14032,1237658607683502230,19.298820000000003,17.979870000000002,17.32518,16.8979,16.69775,0.12388710000000001
29855,1237662193998758069,19.4209,18.340320000000002,17.715410000000002,17.321720000000003,17.11745,0.16041629999999998
18395,1237661068724142189,19.59338,18.191679999999998,17.4214,17.039089999999998,16.83727,0.10241389999999999
27460,1237662195604979770,18.857229999999998,17.48714,16.62109,16.177229999999998,15.875979999999998,0.15708470000000002
48544,1237671932820193388,19.16959,17.89339,17.24376,16.8574,16.6367,0.1274629
9179,1237655463240991036,19.35608,18.1932,17.669420000000002,17.30547,17.08823,0.1014218
29407,1237662337865023622,19.43971,17.53602,16.59037,16.1805,15.833520000000002,0.1023177
45420,1237671139869261883,19.74992,18.20146,17.309,16.87116,16.579060000000002,0.10739080000000001
17795,1237661139032604776,18.98249,16.9619,15.88119,15.418220000000002,15.046439999999999,0.11128489999999999
20301,1237661358074888271,19.41229,18.04226,17.36034,16.9418,16.662979999999997,0.1464917
31880,1237665549965983942,19.44025,18.19015,17.443089999999998,17.01086,16.750339999999998,0.1039837
43212,1237668333101449509,18.99973,17.70105,17.04129,16.66665,16.39336,0.13209520000000002
47778,1237674650997883090,18.80544,18.06096,17.72029,17.425639999999998,17.40629,0.16869679999999998
49550,1237679997164454032,19.1435,17.57222,16.62631,16.19346,15.794479999999998,0.1075046
42568,1237667911124975710,18.0524,16.78725,16.049210000000002,15.650179999999999,15.367970000000001,0.1154645
46184,1237667210526720174,19.2943,18.93856,18.39501,18.17565,17.76313,0.3438452
38528,1237667252933230655,19.00074,17.2075,16.36339,15.973989999999999,15.659770000000002,0.1057089
13630,1237658303281365097,19.388720000000003,18.06251,17.307029999999997,16.90926,16.61245,0.10839960000000001
23351,1237659345879498825,19.3625,18.73613,18.40492,18.18583,18.19981,0.1711922
9496,1237657190904889454,18.583470000000002,17.26055,16.56945,16.17586,15.906529999999998,0.12164749999999999
36306,1237664869209997485,19.61767,18.28296,17.552960000000002,17.118489999999998,16.831770000000002,0.11146310000000001
3729,1237654652029370592,19.225360000000002,18.14025,17.669610000000002,17.33841,17.18993,0.11709030000000001
36360,1237664870284197997,19.64944,18.26274,17.44216,17.04255,16.74306,0.1164952
41652,1237667734516596842,19.69276,18.58178,17.81053,17.358220000000003,17.04614,0.1758934
26612,1237662199352918133,19.18382,17.13831,16.09539,15.663129999999999,15.26265,0.10257100000000001
11351,1237651823245000829,19.58634,18.34338,17.60069,17.22387,16.92199,0.1367701
4423,1237651752408514787,18.37444,17.29055,16.82518,16.40223,16.20586,0.1034011
14913,1237657628988801227,18.83444,17.44143,16.743660000000002,16.33054,16.08249,0.1146751
9260,1237657221486674099,19.31225,18.04172,17.28125,16.84129,16.558310000000002,0.13481120000000002
26791,1237661852537651243,19.11518,18.643710000000002,18.44223,18.1158,18.3365,0.2056848
4498,1237651065205948692,19.31126,17.94835,17.12395,16.6731,16.38734,0.13837370000000002
11297,1237657590316007515,19.20426,18.08534,17.406979999999997,16.991429999999998,16.79805,0.16920410000000002
37869,1237667109035114650,19.47354,17.284489999999998,16.23085,15.8203,15.433779999999999,0.1008505
39351,1237668288011174056,19.35295,18.09444,17.53463,17.17695,17.00086,0.10858630000000001
48939,1237679167157043312,19.40059,18.44762,17.9302,17.54968,17.40718,0.1245614
17630,1237659162817856020,19.33853,17.51512,16.42771,15.97835,15.60874,0.1009948
28013,1237662661597069438,19.4759,17.56805,16.53825,16.10029,15.742560000000001,0.12722619999999998
38065,1237667255618633883,19.38285,18.29903,17.76388,17.431279999999997,17.25664,0.10768139999999998
22653,1237661812272463980,18.78426,17.571479999999998,16.78414,16.34694,16.0615,0.1826605
7798,1237650761852846237,19.56654,18.742639999999998,18.346510000000002,18.010579999999997,18.012970000000003,0.1327076
37535,1237666210346893594,18.89884,17.3116,16.68723,16.33406,16.16396,0.1012602
32959,1237663784742158473,19.51255,18.51855,17.81635,17.430629999999997,17.1946,0.1676645
41124,1237667781213945962,19.229789999999998,18.02058,17.34649,16.92598,16.69762,0.13005070000000002
4298,1237648720707059915,19.54545,18.11477,17.274079999999998,16.84539,16.565279999999998,0.13155550000000002
39873,1237667783373881416,18.4035,17.033929999999998,16.23159,15.85449,15.57194,0.10288499999999999
19658,1237659154219270367,19.299039999999998,17.98188,17.21121,16.84114,16.552789999999998,0.1301815
48988,1237671956440875195,18.48451,17.061989999999998,16.24812,15.851679999999998,15.52224,0.11780919999999999
24942,1237660670348099755,19.61723,18.365370000000002,17.76439,17.33764,17.14358,0.1294013
21264,1237658491206959212,19.26936,18.00657,17.27185,16.80656,16.55604,0.1420785
42143,1237667253998846117,18.165670000000002,17.03015,16.429579999999998,16.08715,15.86931,0.12723980000000001
44474,1237667917035602069,19.27177,18.31791,17.82406,17.51584,17.290879999999998,0.11352290000000001
16908,1237658298449854712,18.9943,17.93234,17.2638,16.87547,16.63869,0.15943670000000001
26873,1237662225692164257,19.246560000000002,18.32701,17.99677,17.72873,17.640639999999998,0.1121387
47087,1237667733987786982,18.6387,17.542189999999998,17.03311,16.68361,16.50766,0.11836780000000001
32032,1237664093440442532,18.79834,16.9936,16.04747,15.634379999999998,15.299679999999999,0.1121185
17411,1237661152452018325,19.08278,17.785020000000003,17.06466,16.65608,16.36733,0.12261210000000002
2088,1237649920039125202,19.2955,18.19375,17.6099,17.17071,16.92088,0.1027444
23433,1237661360771039468,18.36869,16.91356,16.15611,15.77307,15.499120000000001,0.1121343
23732,1237662307804053841,19.97856,18.0482,17.09194,16.690720000000002,16.36843,0.1233474
24543,1237661068173967594,19.12879,17.745070000000002,17.14017,16.74551,16.521,0.1158192
16236,1237661126145343895,18.84136,16.924429999999997,15.96105,15.5441,15.199879999999999,0.1023275
4405,1237651752400978073,18.93115,18.08316,17.6645,17.33679,17.2381,0.1259929
18813,1237661386010853699,18.85437,17.627229999999997,17.16553,16.831879999999998,16.62432,0.1030732
25903,1237662306187673761,20.16827,18.319779999999998,17.28538,16.88027,16.60135,0.17137339999999998
27408,1237662195591938344,18.96773,17.88136,17.317610000000002,16.99361,16.8012,0.1171874
41014,1237667288350130280,18.609820000000003,17.55857,16.99165,16.65154,16.44652,0.12409880000000001
38934,1237665566081941846,18.60809,16.920479999999998,16.00163,15.555179999999998,15.19827,0.1006122
9624,1237657401874448665,19.70026,18.9526,18.34599,17.93251,17.76126,0.208971
8390,1237654600490156187,19.48048,18.29737,17.72287,17.38099,17.18499,0.11217049999999999
37625,1237664852038975709,18.8162,17.75969,17.228189999999998,16.88871,16.6647,0.1137869
38183,1237665330936152170,20.016560000000002,19.7331,19.04789,18.73875,18.57176,0.4870116
46865,1237674603213291745,19.11337,17.500999999999998,16.52141,16.08245,15.73424,0.1363406
8450,1237654601029320774,19.36727,18.74476,18.03721,17.66069,17.443089999999998,0.20775229999999997
49434,1237667255075537022,19.50925,17.9581,17.26663,16.98019,16.834,0.18331050000000002
8762,1237652943175155954,19.24085,18.2958,17.82529,17.431720000000002,17.404220000000002,0.1448567
20266,1237661357540835381,19.36945,17.49099,16.445520000000002,16.00465,15.67557,0.1255857
5105,1237655129307021780,19.38106,17.67642,16.8045,16.36731,16.04738,0.1060737
28683,1237662224602693730,19.4615,18.61572,18.32283,18.042720000000003,18.04008,0.11858510000000001
8127,1237655370368614536,19.00235,18.34881,17.86978,17.554879999999997,17.430999999999997,0.24363829999999997
5553,1237655369819291824,18.92334,17.21251,16.272579999999998,15.86517,15.54974,0.13052930000000001
1571,1237648720159440960,18.315170000000002,17.531,17.08711,16.68917,16.56673,0.1172404
13263,1237659146169614440,18.92843,17.85888,17.35957,17.04373,16.90993,0.11384949999999999
41465,1237666407916503307,19.713,17.911270000000002,16.99314,16.57475,16.24655,0.1249126
47271,1237671125376565379,19.54665,18.266370000000002,17.49768,17.08243,16.849079999999997,0.13662320000000003
19215,1237660669810245896,19.52998,18.51053,17.71099,17.22364,16.95393,0.2023956
47884,1237678620108390586,18.86137,17.14497,16.23509,15.8621,15.5344,0.1006599
36478,1237665226234986601,18.74713,17.50392,16.8971,16.52894,16.2569,0.11452480000000001
31953,1237665024901054575,19.048189999999998,17.858079999999998,17.20721,16.83515,16.5749,0.1290951
46236,1237671261735223644,19.27778,17.35163,16.329279999999997,15.91433,15.57022,0.11194569999999998
4903,1237652616205303904,19.11981,18.34696,18.058220000000002,17.75453,17.72984,0.1246731
244,1237648704055214210,18.41067,17.5554,17.203960000000002,16.8789,16.804679999999998,0.1028112
4494,1237651065204768964,19.24624,18.215999999999998,17.70702,17.35371,17.2065,0.11129349999999999
35093,1237665354549166378,19.488979999999998,18.38671,17.72053,17.35663,17.10845,0.17499220000000001
12748,1237657855534301190,18.95242,18.798170000000002,18.77756,18.47687,18.79178,0.1113464
13895,1237659161741689200,19.5386,17.922179999999997,17.11682,16.67504,16.3518,0.124313
38760,1237667321644056744,19.345470000000002,18.345979999999997,17.89019,17.51306,17.40598,0.10948410000000001
20885,1237660585514762467,19.20241,17.712310000000002,16.88025,16.45306,16.11644,0.1153772
29816,1237662302976803058,19.691270000000003,18.7919,18.36771,18.02636,17.95097,0.14947939999999998
9207,1237652946385043561,18.660989999999998,17.125,16.36489,15.94423,15.63901,0.1027365
21458,1237661388139987128,19.6883,17.89622,16.89075,16.47916,16.15521,0.1316806
12736,1237650762387030294,18.77828,16.8173,15.76951,15.31739,14.92565,0.1185496
49541,1237678437018108102,19.02647,17.73334,17.00423,16.53562,16.26105,0.10583599999999999
11694,1237658203422523547,19.16861,18.64511,18.13411,17.72573,17.64244,0.2093821
13608,1237658303278415961,19.56512,17.570439999999998,16.598110000000002,16.20107,15.857520000000001,0.10197239999999999
19124,1237661063872708887,18.88573,17.94312,17.54375,17.1863,17.116870000000002,0.1284138
